learner,decile,decile_label,mean_predicted_p_exposure,actual_exposure_rate,sample_size
S-Learner,1,Bottom 10%,0.04657683148980141,0.005300599804714744,279591
S-Learner,2,2nd Decile,0.019917862489819527,0.0016202180319894704,279592
S-Learner,3,3rd Decile,0.027619710192084312,0.0027504363501101607,279592
S-Learner,4,4th Decile,0.03253982588648796,0.003480070960542505,279592
S-Learner,5,5th Decile,0.05002749711275101,0.005161091876734671,279592
S-Learner,6,6th Decile,0.06242924928665161,0.008169046324644482,279592
S-Learner,7,7th Decile,0.1961957961320877,0.03064465363815846,279592
S-Learner,8,8th Decile,0.14445407688617706,0.019800280408595383,279592
S-Learner,9,9th Decile,0.2946490943431854,0.0453732581761996,279592
S-Learner,10,Top 10%,0.6055275201797485,0.18349595124324014,279592
T-Learner,1,Bottom 10%,0.16365781426429749,0.029003079498267113,279591
T-Learner,2,2nd Decile,0.05436122044920921,0.006366419640046926,279592
T-Learner,3,3rd Decile,0.04004159942269325,0.0044994134309994565,279592
T-Learner,4,4th Decile,0.041787367314100266,0.00503948610832928,279592
T-Learner,5,5th Decile,0.04388796538114548,0.005071675870554236,279592
T-Learner,6,6th Decile,0.06045767664909363,0.0075073678789092674,279592
T-Learner,7,7th Decile,0.08360688388347626,0.011734956651120204,279592
T-Learner,8,8th Decile,0.16141901910305023,0.024374803284786403,279592
T-Learner,9,9th Decile,0.2847198247909546,0.050219605711179144,279592
T-Learner,10,Top 10%,0.545998752117157,0.16197888351598042,279592
X-Learner,1,Bottom 10%,0.012110714800655842,0.0009978861980535854,279591
X-Learner,2,2nd Decile,0.01950104534626007,0.001655984434461644,279592
X-Learner,3,3rd Decile,0.016490742564201355,0.0015486852270451229,279592
X-Learner,4,4th Decile,0.0377170592546463,0.0033226987896649404,279592
X-Learner,5,5th Decile,0.03655678778886795,0.00340496151535094,279592
X-Learner,6,6th Decile,0.17065463960170746,0.020969841769435463,279592
X-Learner,7,7th Decile,0.1357535868883133,0.020694440470399724,279592
X-Learner,8,8th Decile,0.17712631821632385,0.026617356719791697,279592
X-Learner,9,9th Decile,0.31203725934028625,0.05526624510000286,279592
X-Learner,10,Top 10%,0.5619893074035645,0.171317491201465,279592
R-Learner,1,Bottom 10%,0.034673742949962616,0.004785561767009667,279591
R-Learner,2,2nd Decile,0.02794712968170643,0.002507224813299379,279592
R-Learner,3,3rd Decile,0.02799884043633938,0.0025108014535465966,279592
R-Learner,4,4th Decile,0.027987433597445488,0.0025429912157715526,279592
R-Learner,5,5th Decile,0.02804991975426674,0.0024535752095911183,279592
R-Learner,6,6th Decile,0.04904898628592491,0.00473904832756302,279592
R-Learner,7,7th Decile,0.08763714134693146,0.008748462044693697,279592
R-Learner,8,8th Decile,0.2985135316848755,0.04284815016166414,279592
R-Learner,9,9th Decile,0.2987174391746521,0.050266102034392975,279592
R-Learner,10,Top 10%,0.5993633270263672,0.1843936879452917,279592
